Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2021-10-13,98.3979,Normal value (A)
2021-10-12,98.3762,Normal value (A)
2021-10-11,98.4856,Normal value (A)
2021-10-10,-,Missing value; data cannot exist (M)
2021-10-09,-,Missing value; data cannot exist (M)
2021-10-08,98.4751,Normal value (A)
2021-10-07,98.3303,Normal value (A)
2021-10-06,98.3434,Normal value (A)
2021-10-05,98.5870,Normal value (A)
2021-10-04,98.7474,Normal value (A)
2021-10-03,-,Missing value; data cannot exist (M)
2021-10-02,-,Missing value; data cannot exist (M)
2021-10-01,98.6949,Normal value (A)
2021-09-30,98.9334,Normal value (A)
2021-09-29,99.3005,Normal value (A)
2021-09-28,99.3062,Normal value (A)
2021-09-27,99.2143,Normal value (A)
2021-09-26,-,Missing value; data cannot exist (M)
2021-09-25,-,Missing value; data cannot exist (M)
2021-09-24,99.3292,Normal value (A)
2021-09-23,99.1793,Normal value (A)
2021-09-22,99.4292,Normal value (A)
2021-09-21,99.4545,Normal value (A)
2021-09-20,99.3470,Normal value (A)
2021-09-19,-,Missing value; data cannot exist (M)
2021-09-18,-,Missing value; data cannot exist (M)
2021-09-17,99.4293,Normal value (A)
2021-09-16,99.1822,Normal value (A)
2021-09-15,99.4022,Normal value (A)
2021-09-14,99.4575,Normal value (A)
2021-09-13,99.3062,Normal value (A)
2021-09-12,-,Missing value; data cannot exist (M)
2021-09-11,-,Missing value; data cannot exist (M)
2021-09-10,99.4563,Normal value (A)
2021-09-09,99.6017,Normal value (A)
2021-09-08,99.6116,Normal value (A)
2021-09-07,99.7618,Normal value (A)
2021-09-06,99.6457,Normal value (A)
2021-09-05,-,Missing value; data cannot exist (M)
2021-09-04,-,Missing value; data cannot exist (M)
2021-09-03,99.6782,Normal value (A)
2021-09-02,99.6140,Normal value (A)
2021-09-01,99.5214,Normal value (A)
2021-08-31,99.5713,Normal value (A)
2021-08-30,99.5184,Normal value (A)
2021-08-29,-,Missing value; data cannot exist (M)
2021-08-28,-,Missing value; data cannot exist (M)
2021-08-27,99.4844,Normal value (A)
2021-08-26,99.4817,Normal value (A)
2021-08-25,99.2640,Normal value (A)
2021-08-24,99.2496,Normal value (A)
2021-08-23,99.3061,Normal value (A)
2021-08-22,-,Missing value; data cannot exist (M)
2021-08-21,-,Missing value; data cannot exist (M)
2021-08-20,99.2414,Normal value (A)
2021-08-19,99.2048,Normal value (A)
2021-08-18,99.1206,Normal value (A)
2021-08-17,99.2953,Normal value (A)
2021-08-16,99.2363,Normal value (A)
2021-08-15,-,Missing value; data cannot exist (M)
2021-08-14,-,Missing value; data cannot exist (M)
2021-08-13,99.3316,Normal value (A)
2021-08-12,99.1681,Normal value (A)
2021-08-11,99.1284,Normal value (A)
2021-08-10,99.0485,Normal value (A)
2021-08-09,99.1796,Normal value (A)
2021-08-08,-,Missing value; data cannot exist (M)
2021-08-07,-,Missing value; data cannot exist (M)
2021-08-06,99.2535,Normal value (A)
2021-08-05,99.4591,Normal value (A)
2021-08-04,99.5106,Normal value (A)
2021-08-03,99.7126,Normal value (A)
2021-08-02,99.7942,Normal value (A)
2021-08-01,-,Missing value; data cannot exist (M)
2021-07-31,-,Missing value; data cannot exist (M)
2021-07-30,99.7749,Normal value (A)
2021-07-29,99.7020,Normal value (A)
2021-07-28,99.6744,Normal value (A)
2021-07-27,99.7472,Normal value (A)
2021-07-26,99.6389,Normal value (A)
2021-07-25,-,Missing value; data cannot exist (M)
2021-07-24,-,Missing value; data cannot exist (M)
2021-07-23,99.5091,Normal value (A)
2021-07-22,99.4807,Normal value (A)
2021-07-21,99.7921,Normal value (A)
2021-07-20,99.8055,Normal value (A)
2021-07-19,99.6599,Normal value (A)
2021-07-18,-,Missing value; data cannot exist (M)
2021-07-17,-,Missing value; data cannot exist (M)
2021-07-16,99.5832,Normal value (A)
2021-07-15,99.5227,Normal value (A)
2021-07-14,99.5155,Normal value (A)
2021-07-13,99.7180,Normal value (A)
2021-07-12,99.7872,Normal value (A)
2021-07-11,-,Missing value; data cannot exist (M)
2021-07-10,-,Missing value; data cannot exist (M)
2021-07-09,99.8370,Normal value (A)
2021-07-08,99.9214,Normal value (A)
2021-07-07,99.5801,Normal value (A)
2021-07-06,99.5085,Normal value (A)
2021-07-05,99.6616,Normal value (A)
2021-07-04,-,Missing value; data cannot exist (M)
2021-07-03,-,Missing value; data cannot exist (M)
2021-07-02,99.6975,Normal value (A)
2021-07-01,99.9030,Normal value (A)
2021-06-30,99.7652,Normal value (A)
2021-06-29,99.8139,Normal value (A)
2021-06-28,99.8568,Normal value (A)
2021-06-27,-,Missing value; data cannot exist (M)
2021-06-26,-,Missing value; data cannot exist (M)
2021-06-25,100.0117,Normal value (A)
2021-06-24,100.0015,Normal value (A)
2021-06-23,100.0121,Normal value (A)
2021-06-22,99.8805,Normal value (A)
2021-06-21,99.8813,Normal value (A)
2021-06-20,-,Missing value; data cannot exist (M)
2021-06-19,-,Missing value; data cannot exist (M)
2021-06-18,99.8699,Normal value (A)
2021-06-17,99.9397,Normal value (A)
2021-06-16,100.4454,Normal value (A)
2021-06-15,100.4417,Normal value (A)
2021-06-14,100.3598,Normal value (A)
2021-06-13,-,Missing value; data cannot exist (M)
2021-06-12,-,Missing value; data cannot exist (M)
2021-06-11,100.1969,Normal value (A)
2021-06-10,100.5659,Normal value (A)
2021-06-09,100.5367,Normal value (A)
2021-06-08,100.5574,Normal value (A)
2021-06-07,100.3885,Normal value (A)
2021-06-06,-,Missing value; data cannot exist (M)
2021-06-05,-,Missing value; data cannot exist (M)
2021-06-04,100.3448,Normal value (A)
2021-06-03,100.5862,Normal value (A)
2021-06-02,100.6083,Normal value (A)
2021-06-01,100.7837,Normal value (A)
2021-05-31,100.6554,Normal value (A)
2021-05-30,-,Missing value; data cannot exist (M)
2021-05-29,-,Missing value; data cannot exist (M)
2021-05-28,100.4201,Normal value (A)
2021-05-27,100.6841,Normal value (A)
2021-05-26,100.9095,Normal value (A)
2021-05-25,101.1301,Normal value (A)
2021-05-24,100.9529,Normal value (A)
2021-05-23,-,Missing value; data cannot exist (M)
2021-05-22,-,Missing value; data cannot exist (M)
2021-05-21,100.7541,Normal value (A)
2021-05-20,101.0778,Normal value (A)
2021-05-19,101.0731,Normal value (A)
2021-05-18,100.9508,Normal value (A)
2021-05-17,100.8396,Normal value (A)
2021-05-16,-,Missing value; data cannot exist (M)
2021-05-15,-,Missing value; data cannot exist (M)
2021-05-14,100.6561,Normal value (A)
2021-05-13,100.6545,Normal value (A)
2021-05-12,100.6017,Normal value (A)
2021-05-11,100.8235,Normal value (A)
2021-05-10,100.7923,Normal value (A)
2021-05-09,-,Missing value; data cannot exist (M)
2021-05-08,-,Missing value; data cannot exist (M)
2021-05-07,100.6695,Normal value (A)
2021-05-06,100.7992,Normal value (A)
2021-05-05,100.4836,Normal value (A)
2021-05-04,100.7298,Normal value (A)
2021-05-03,100.7621,Normal value (A)
2021-05-02,-,Missing value; data cannot exist (M)
2021-05-01,-,Missing value; data cannot exist (M)
2021-04-30,100.8649,Normal value (A)
2021-04-29,101.0426,Normal value (A)
2021-04-28,100.9706,Normal value (A)
2021-04-27,100.9634,Normal value (A)
2021-04-26,100.9617,Normal value (A)
2021-04-25,-,Missing value; data cannot exist (M)
2021-04-24,-,Missing value; data cannot exist (M)
2021-04-23,100.8964,Normal value (A)
2021-04-22,100.8159,Normal value (A)
2021-04-21,100.5778,Normal value (A)
2021-04-20,100.7330,Normal value (A)
2021-04-19,100.6381,Normal value (A)
2021-04-18,-,Missing value; data cannot exist (M)
2021-04-17,-,Missing value; data cannot exist (M)
2021-04-16,100.6071,Normal value (A)
2021-04-15,100.5754,Normal value (A)
2021-04-14,100.6128,Normal value (A)
2021-04-13,100.4564,Normal value (A)
2021-04-12,100.3294,Normal value (A)
2021-04-11,-,Missing value; data cannot exist (M)
2021-04-10,-,Missing value; data cannot exist (M)
2021-04-09,100.3391,Normal value (A)
2021-04-08,100.1851,Normal value (A)
2021-04-07,100.2891,Normal value (A)
2021-04-06,99.9669,Normal value (A)
2021-04-05,-,Missing value; data cannot exist (M)
2021-04-04,-,Missing value; data cannot exist (M)
2021-04-03,-,Missing value; data cannot exist (M)
2021-04-02,-,Missing value; data cannot exist (M)
2021-04-01,99.8204,Normal value (A)
2021-03-31,99.7177,Normal value (A)
2021-03-30,99.8755,Normal value (A)
2021-03-29,99.9169,Normal value (A)
2021-03-28,-,Missing value; data cannot exist (M)
2021-03-27,-,Missing value; data cannot exist (M)
2021-03-26,99.9339,Normal value (A)
2021-03-25,100.1168,Normal value (A)
2021-03-24,100.1485,Normal value (A)
2021-03-23,100.3417,Normal value (A)
2021-03-22,100.4190,Normal value (A)
2021-03-21,-,Missing value; data cannot exist (M)
2021-03-20,-,Missing value; data cannot exist (M)
2021-03-19,100.3010,Normal value (A)
2021-03-18,100.3436,Normal value (A)
2021-03-17,100.3100,Normal value (A)
2021-03-16,100.3748,Normal value (A)
2021-03-15,100.3843,Normal value (A)
2021-03-14,-,Missing value; data cannot exist (M)
2021-03-13,-,Missing value; data cannot exist (M)
2021-03-12,100.4470,Normal value (A)
2021-03-11,100.4289,Normal value (A)
2021-03-10,100.2509,Normal value (A)
2021-03-09,100.2977,Normal value (A)
2021-03-08,100.3088,Normal value (A)
2021-03-07,-,Missing value; data cannot exist (M)
2021-03-06,-,Missing value; data cannot exist (M)
2021-03-05,100.5060,Normal value (A)
2021-03-04,100.7391,Normal value (A)
2021-03-03,100.6679,Normal value (A)
2021-03-02,100.6283,Normal value (A)
2021-03-01,100.7234,Normal value (A)
2021-02-28,-,Missing value; data cannot exist (M)
2021-02-27,-,Missing value; data cannot exist (M)
2021-02-26,101.0528,Normal value (A)
2021-02-25,101.2145,Normal value (A)
2021-02-24,100.7671,Normal value (A)
2021-02-23,100.7498,Normal value (A)
2021-02-22,100.6981,Normal value (A)
2021-02-21,-,Missing value; data cannot exist (M)
2021-02-20,-,Missing value; data cannot exist (M)
2021-02-19,100.5624,Normal value (A)
2021-02-18,100.4216,Normal value (A)
2021-02-17,100.4042,Normal value (A)
2021-02-16,100.7404,Normal value (A)
2021-02-15,100.6168,Normal value (A)
2021-02-14,-,Missing value; data cannot exist (M)
2021-02-13,-,Missing value; data cannot exist (M)
2021-02-12,100.7008,Normal value (A)
2021-02-11,100.8119,Normal value (A)
2021-02-10,100.6978,Normal value (A)
2021-02-09,100.6147,Normal value (A)
2021-02-08,100.4429,Normal value (A)
2021-02-07,-,Missing value; data cannot exist (M)
2021-02-06,-,Missing value; data cannot exist (M)
2021-02-05,100.3010,Normal value (A)
2021-02-04,100.3256,Normal value (A)
2021-02-03,100.4555,Normal value (A)
2021-02-02,100.5680,Normal value (A)
2021-02-01,100.8395,Normal value (A)
2021-01-31,-,Missing value; data cannot exist (M)
2021-01-30,-,Missing value; data cannot exist (M)
2021-01-29,100.9915,Normal value (A)
2021-01-28,101.0326,Normal value (A)
2021-01-27,100.9802,Normal value (A)
2021-01-26,101.0921,Normal value (A)
2021-01-25,101.1408,Normal value (A)
2021-01-24,-,Missing value; data cannot exist (M)
2021-01-23,-,Missing value; data cannot exist (M)
2021-01-22,101.2570,Normal value (A)
2021-01-21,101.0212,Normal value (A)
2021-01-20,100.8815,Normal value (A)
2021-01-19,101.1515,Normal value (A)
2021-01-18,100.9490,Normal value (A)
2021-01-17,-,Missing value; data cannot exist (M)
2021-01-16,-,Missing value; data cannot exist (M)
2021-01-15,101.0853,Normal value (A)
2021-01-14,101.0778,Normal value (A)
2021-01-13,101.2820,Normal value (A)
2021-01-12,101.3200,Normal value (A)
2021-01-11,101.5575,Normal value (A)
2021-01-10,-,Missing value; data cannot exist (M)
2021-01-09,-,Missing value; data cannot exist (M)
2021-01-08,101.7362,Normal value (A)
2021-01-07,101.8416,Normal value (A)
2021-01-06,102.1055,Normal value (A)
2021-01-05,101.8899,Normal value (A)
2021-01-04,101.9570,Normal value (A)
2021-01-03,-,Missing value; data cannot exist (M)
2021-01-02,-,Missing value; data cannot exist (M)
2021-01-01,-,Missing value; data cannot exist (M)
2020-12-31,102.0694,Normal value (A)
2020-12-30,102.2209,Normal value (A)
2020-12-29,102.2932,Normal value (A)
2020-12-28,101.9952,Normal value (A)
2020-12-27,-,Missing value; data cannot exist (M)
2020-12-26,-,Missing value; data cannot exist (M)
2020-12-25,-,Missing value; data cannot exist (M)
2020-12-24,101.7616,Normal value (A)
2020-12-23,101.8933,Normal value (A)
2020-12-22,102.2699,Normal value (A)
2020-12-21,102.1009,Normal value (A)
2020-12-20,-,Missing value; data cannot exist (M)
2020-12-19,-,Missing value; data cannot exist (M)
2020-12-18,102.1243,Normal value (A)
2020-12-17,101.8013,Normal value (A)
2020-12-16,101.5693,Normal value (A)
2020-12-15,101.6022,Normal value (A)
2020-12-14,101.6263,Normal value (A)
2020-12-13,-,Missing value; data cannot exist (M)
2020-12-12,-,Missing value; data cannot exist (M)
2020-12-11,101.8442,Normal value (A)
2020-12-10,101.5467,Normal value (A)
2020-12-09,101.3007,Normal value (A)
2020-12-08,101.6371,Normal value (A)
2020-12-07,101.7485,Normal value (A)
2020-12-06,-,Missing value; data cannot exist (M)
2020-12-05,-,Missing value; data cannot exist (M)
2020-12-04,101.7504,Normal value (A)
2020-12-03,101.8040,Normal value (A)
2020-12-02,101.5543,Normal value (A)
2020-12-01,100.9776,Normal value (A)
2020-11-30,101.0155,Normal value (A)
2020-11-29,-,Missing value; data cannot exist (M)
2020-11-28,-,Missing value; data cannot exist (M)
2020-11-27,100.7406,Normal value (A)
2020-11-26,100.5350,Normal value (A)
2020-11-25,100.5089,Normal value (A)
2020-11-24,100.4892,Normal value (A)
2020-11-23,100.5370,Normal value (A)
2020-11-22,-,Missing value; data cannot exist (M)
2020-11-21,-,Missing value; data cannot exist (M)
2020-11-20,100.4595,Normal value (A)
2020-11-19,100.4105,Normal value (A)
2020-11-18,100.4503,Normal value (A)
2020-11-17,100.6551,Normal value (A)
2020-11-16,100.5115,Normal value (A)
2020-11-15,-,Missing value; data cannot exist (M)
2020-11-14,-,Missing value; data cannot exist (M)
2020-11-13,100.5182,Normal value (A)
2020-11-12,100.4635,Normal value (A)
2020-11-11,100.1820,Normal value (A)
2020-11-10,100.4326,Normal value (A)
2020-11-09,100.7894,Normal value (A)
2020-11-08,-,Missing value; data cannot exist (M)
2020-11-07,-,Missing value; data cannot exist (M)
2020-11-06,100.9011,Normal value (A)
2020-11-05,100.8516,Normal value (A)
2020-11-04,100.4786,Normal value (A)
2020-11-03,100.6162,Normal value (A)
2020-11-02,100.5493,Normal value (A)
2020-11-01,-,Missing value; data cannot exist (M)
2020-10-31,-,Missing value; data cannot exist (M)
2020-10-30,100.8152,Normal value (A)
2020-10-29,101.0105,Normal value (A)
2020-10-28,101.1425,Normal value (A)
2020-10-27,101.4364,Normal value (A)
2020-10-26,101.4499,Normal value (A)
2020-10-25,-,Missing value; data cannot exist (M)
2020-10-24,-,Missing value; data cannot exist (M)
2020-10-23,101.4465,Normal value (A)
2020-10-22,101.2718,Normal value (A)
2020-10-21,101.3943,Normal value (A)
2020-10-20,101.4985,Normal value (A)
2020-10-19,101.2180,Normal value (A)
2020-10-18,-,Missing value; data cannot exist (M)
2020-10-17,-,Missing value; data cannot exist (M)
2020-10-16,101.0875,Normal value (A)
2020-10-15,100.9491,Normal value (A)
2020-10-14,101.0443,Normal value (A)
2020-10-13,101.1973,Normal value (A)
2020-10-12,101.2370,Normal value (A)
2020-10-11,-,Missing value; data cannot exist (M)
2020-10-10,-,Missing value; data cannot exist (M)
2020-10-09,101.2298,Normal value (A)
2020-10-08,101.4070,Normal value (A)
2020-10-07,101.5404,Normal value (A)
2020-10-06,101.5766,Normal value (A)
2020-10-05,101.4493,Normal value (A)
2020-10-04,-,Missing value; data cannot exist (M)
2020-10-03,-,Missing value; data cannot exist (M)
2020-10-02,101.1920,Normal value (A)
2020-10-01,101.3118,Normal value (A)
2020-09-30,101.5537,Normal value (A)
2020-09-29,101.4476,Normal value (A)
2020-09-28,101.2573,Normal value (A)
2020-09-27,-,Missing value; data cannot exist (M)
2020-09-26,-,Missing value; data cannot exist (M)
2020-09-25,101.3145,Normal value (A)
2020-09-24,101.2522,Normal value (A)
2020-09-23,101.3007,Normal value (A)
2020-09-22,101.3241,Normal value (A)
2020-09-21,101.4929,Normal value (A)
2020-09-20,-,Missing value; data cannot exist (M)
2020-09-19,-,Missing value; data cannot exist (M)
2020-09-18,101.5073,Normal value (A)
2020-09-17,101.3867,Normal value (A)
2020-09-16,101.6356,Normal value (A)
2020-09-15,101.9376,Normal value (A)
2020-09-14,102.0466,Normal value (A)
2020-09-13,-,Missing value; data cannot exist (M)
2020-09-12,-,Missing value; data cannot exist (M)
2020-09-11,102.0139,Normal value (A)
2020-09-10,101.8636,Normal value (A)
2020-09-09,101.5098,Normal value (A)
2020-09-08,101.4734,Normal value (A)
2020-09-07,101.4433,Normal value (A)
2020-09-06,-,Missing value; data cannot exist (M)
2020-09-05,-,Missing value; data cannot exist (M)
2020-09-04,101.4453,Normal value (A)
2020-09-03,101.2079,Normal value (A)
2020-09-02,101.2697,Normal value (A)
2020-09-01,101.7655,Normal value (A)
2020-08-31,101.6644,Normal value (A)
2020-08-30,-,Missing value; data cannot exist (M)
2020-08-29,-,Missing value; data cannot exist (M)
2020-08-28,101.5064,Normal value (A)
2020-08-27,101.2388,Normal value (A)
2020-08-26,101.2360,Normal value (A)
2020-08-25,101.4121,Normal value (A)
2020-08-24,101.5594,Normal value (A)
2020-08-23,-,Missing value; data cannot exist (M)
2020-08-22,-,Missing value; data cannot exist (M)
2020-08-21,101.1804,Normal value (A)
2020-08-20,101.6043,Normal value (A)
2020-08-19,101.9114,Normal value (A)
2020-08-18,101.8085,Normal value (A)
2020-08-17,101.7259,Normal value (A)
2020-08-16,-,Missing value; data cannot exist (M)
2020-08-15,-,Missing value; data cannot exist (M)
2020-08-14,101.4945,Normal value (A)
2020-08-13,101.6066,Normal value (A)
2020-08-12,101.3433,Normal value (A)
2020-08-11,101.2448,Normal value (A)
2020-08-10,101.3466,Normal value (A)
2020-08-09,-,Missing value; data cannot exist (M)
2020-08-08,-,Missing value; data cannot exist (M)
2020-08-07,101.6196,Normal value (A)
2020-08-06,101.6048,Normal value (A)
2020-08-05,101.6042,Normal value (A)
2020-08-04,101.4597,Normal value (A)
2020-08-03,101.3017,Normal value (A)
2020-08-02,-,Missing value; data cannot exist (M)
2020-08-01,-,Missing value; data cannot exist (M)
2020-07-31,101.6668,Normal value (A)
2020-07-30,101.3635,Normal value (A)
2020-07-29,101.3135,Normal value (A)
2020-07-28,101.3818,Normal value (A)
2020-07-27,101.6514,Normal value (A)
2020-07-26,-,Missing value; data cannot exist (M)
2020-07-25,-,Missing value; data cannot exist (M)
2020-07-24,100.9785,Normal value (A)
2020-07-23,100.8544,Normal value (A)
2020-07-22,100.8964,Normal value (A)
2020-07-21,100.1126,Normal value (A)
2020-07-20,100.3743,Normal value (A)
2020-07-19,-,Missing value; data cannot exist (M)
2020-07-18,-,Missing value; data cannot exist (M)
2020-07-17,100.4864,Normal value (A)
2020-07-16,100.4259,Normal value (A)
2020-07-15,100.3962,Normal value (A)
2020-07-14,100.2512,Normal value (A)
2020-07-13,99.7990,Normal value (A)
2020-07-12,-,Missing value; data cannot exist (M)
2020-07-11,-,Missing value; data cannot exist (M)
2020-07-10,99.4692,Normal value (A)
2020-07-09,99.7011,Normal value (A)
2020-07-08,99.6587,Normal value (A)
2020-07-07,99.7206,Normal value (A)
2020-07-06,99.9114,Normal value (A)
2020-07-05,-,Missing value; data cannot exist (M)
2020-07-04,-,Missing value; data cannot exist (M)
2020-07-03,99.5049,Normal value (A)
2020-07-02,99.8208,Normal value (A)
2020-07-01,99.4835,Normal value (A)
2020-06-30,99.7217,Normal value (A)
2020-06-29,100.1697,Normal value (A)
2020-06-28,-,Missing value; data cannot exist (M)
2020-06-27,-,Missing value; data cannot exist (M)
2020-06-26,99.6166,Normal value (A)
2020-06-25,99.5032,Normal value (A)
2020-06-24,99.8309,Normal value (A)
2020-06-23,100.0089,Normal value (A)
2020-06-22,99.5282,Normal value (A)
2020-06-21,-,Missing value; data cannot exist (M)
2020-06-20,-,Missing value; data cannot exist (M)
2020-06-19,99.5119,Normal value (A)
2020-06-18,99.5564,Normal value (A)
2020-06-17,99.4445,Normal value (A)
2020-06-16,99.7630,Normal value (A)
2020-06-15,99.6832,Normal value (A)
2020-06-14,-,Missing value; data cannot exist (M)
2020-06-13,-,Missing value; data cannot exist (M)
2020-06-12,99.8352,Normal value (A)
2020-06-11,99.9939,Normal value (A)
2020-06-10,99.8776,Normal value (A)
2020-06-09,99.6819,Normal value (A)
2020-06-08,99.6752,Normal value (A)
2020-06-07,-,Missing value; data cannot exist (M)
2020-06-06,-,Missing value; data cannot exist (M)
2020-06-05,100.0338,Normal value (A)
2020-06-04,99.7578,Normal value (A)
2020-06-03,99.3858,Normal value (A)
2020-06-02,99.2167,Normal value (A)
2020-06-01,99.2209,Normal value (A)
2020-05-31,-,Missing value; data cannot exist (M)
2020-05-30,-,Missing value; data cannot exist (M)
2020-05-29,99.4915,Normal value (A)
2020-05-28,98.9576,Normal value (A)
2020-05-27,98.8461,Normal value (A)
2020-05-26,98.5471,Normal value (A)
2020-05-25,98.5511,Normal value (A)
2020-05-24,-,Missing value; data cannot exist (M)
2020-05-23,-,Missing value; data cannot exist (M)
2020-05-22,98.5159,Normal value (A)
2020-05-21,98.9372,Normal value (A)
2020-05-20,98.6650,Normal value (A)
2020-05-19,98.7444,Normal value (A)
2020-05-18,98.1671,Normal value (A)
2020-05-17,-,Missing value; data cannot exist (M)
2020-05-16,-,Missing value; data cannot exist (M)
2020-05-15,97.9747,Normal value (A)
2020-05-14,97.8730,Normal value (A)
2020-05-13,98.0663,Normal value (A)
2020-05-12,97.8657,Normal value (A)
2020-05-11,97.8026,Normal value (A)
2020-05-10,-,Missing value; data cannot exist (M)
2020-05-09,-,Missing value; data cannot exist (M)
2020-05-08,97.6476,Normal value (A)
2020-05-07,97.4292,Normal value (A)
2020-05-06,97.5006,Normal value (A)
2020-05-05,97.5706,Normal value (A)
2020-05-04,98.3730,Normal value (A)
2020-05-03,-,Missing value; data cannot exist (M)
2020-05-02,-,Missing value; data cannot exist (M)
2020-05-01,-,Missing value; data cannot exist (M)
2020-04-30,97.6390,Normal value (A)
2020-04-29,97.7638,Normal value (A)
2020-04-28,97.9297,Normal value (A)
2020-04-27,97.9056,Normal value (A)
2020-04-26,-,Missing value; data cannot exist (M)
2020-04-25,-,Missing value; data cannot exist (M)
2020-04-24,97.7659,Normal value (A)
2020-04-23,97.6516,Normal value (A)
2020-04-22,98.2766,Normal value (A)
2020-04-21,98.1595,Normal value (A)
2020-04-20,97.9550,Normal value (A)
2020-04-19,-,Missing value; data cannot exist (M)
2020-04-18,-,Missing value; data cannot exist (M)
2020-04-17,97.8106,Normal value (A)
2020-04-16,98.0164,Normal value (A)
2020-04-15,98.1162,Normal value (A)
2020-04-14,98.2810,Normal value (A)
2020-04-13,-,Missing value; data cannot exist (M)
2020-04-12,-,Missing value; data cannot exist (M)
2020-04-11,-,Missing value; data cannot exist (M)
2020-04-10,-,Missing value; data cannot exist (M)
2020-04-09,98.0795,Normal value (A)
2020-04-08,98.2487,Normal value (A)
2020-04-07,98.2582,Normal value (A)
2020-04-06,98.1557,Normal value (A)
2020-04-05,-,Missing value; data cannot exist (M)
2020-04-04,-,Missing value; data cannot exist (M)
2020-04-03,98.1290,Normal value (A)
2020-04-02,98.5766,Normal value (A)
2020-04-01,98.9296,Normal value (A)
2020-03-31,99.0213,Normal value (A)
2020-03-30,99.3947,Normal value (A)
2020-03-29,-,Missing value; data cannot exist (M)
2020-03-28,-,Missing value; data cannot exist (M)
2020-03-27,99.2566,Normal value (A)
2020-03-26,99.6019,Normal value (A)
2020-03-25,99.1158,Normal value (A)
2020-03-24,99.3520,Normal value (A)
2020-03-23,99.3108,Normal value (A)
2020-03-22,-,Missing value; data cannot exist (M)
2020-03-21,-,Missing value; data cannot exist (M)
2020-03-20,98.3473,Normal value (A)
2020-03-19,99.4157,Normal value (A)
2020-03-18,99.2966,Normal value (A)
2020-03-17,98.9648,Normal value (A)
2020-03-16,99.5214,Normal value (A)
2020-03-15,-,Missing value; data cannot exist (M)
